"comparison","model","prompt","attempts","reference","experiment","reference_success","reference_total","reference_rate_percent","experiment_success","experiment_total","experiment_rate_percent","delta_pp","note"
"ANSI fixed vs Original","32b","baseline","5","original","ansi_fixed","52","120","43.33","104","120","86.67","43.34","same model/prompt/budget"
"ANSI fixed vs Original","32b","detailed","5","original","ansi_fixed","54","120","45","98","120","81.67","36.67","same model/prompt/budget"
"ANSI fixed vs Original","32b","baseline","15","original","ansi_fixed","58","120","48.33","100","120","83.33","35","same model/prompt/budget"
"ANSI fixed vs Original","32b","detailed","15","original","ansi_fixed","53","120","44.17","96","120","80","35.83","same model/prompt/budget"
"ANSI fixed vs Original","6.7b","baseline","5","original","ansi_fixed","33","120","27.5","70","120","58.33","30.83","same model/prompt/budget"
"ANSI fixed vs Original","6.7b","detailed","5","original","ansi_fixed","25","120","20.83","59","120","49.17","28.34","same model/prompt/budget"
"ANSI fixed vs Original","6.7b","baseline","15","original","ansi_fixed","36","120","30","76","120","63.33","33.33","same model/prompt/budget"
"ANSI fixed vs Original","6.7b","detailed","15","original","ansi_fixed","35","120","29.17","68","120","56.67","27.5","same model/prompt/budget"
"Repair budget effect under ANSI fixed","32b","baseline","15 vs 5","ansi_fixed_5_attempts","ansi_fixed_15_attempts","104","120","86.67","100","120","83.33","-3.34","full 3-run comparison"
"Repair budget effect under ANSI fixed","32b","detailed","15 vs 5","ansi_fixed_5_attempts","ansi_fixed_15_attempts","98","120","81.67","96","120","80","-1.67","full 3-run comparison"
"Repair budget effect under ANSI fixed","6.7b","baseline","15 vs 5","ansi_fixed_5_attempts","ansi_fixed_15_attempts","70","120","58.33","76","120","63.33","5","full 3-run comparison"
"Repair budget effect under ANSI fixed","6.7b","detailed","15 vs 5","ansi_fixed_5_attempts","ansi_fixed_15_attempts","59","120","49.17","68","120","56.67","7.5","full 3-run comparison"
"Guided-lite vs ANSI baseline","6.7b","baseline","5","ansi_fixed|6.7b|5|baseline","guided_lite_ansi|6.7b|5|guided_lite","70","120","58.33","61","120","50.83","-7.5","guided-lite has full 3 runs"
"Guided-lite 15-attempt pilot vs ANSI baseline","6.7b","baseline","15","ansi_fixed|6.7b|15|baseline","guided_lite_ansi|6.7b|15|guided_lite","76","120","63.33","19","40","47.5","-15.83","guided-lite is single-run pilot; reference is full 3 runs"
"Guided-lite 32B pilot vs ANSI baseline","32b","baseline","5","ansi_fixed|32b|5|baseline","guided_lite_ansi|32b|5|guided_lite","104","120","86.67","30","40","75","-11.67","guided-lite is single-run pilot; reference is full 3 runs"
"Last-successful vs ANSI baseline","6.7b","baseline","5","ansi_fixed|6.7b|5|baseline","ansi_last_successful|6.7b|5|baseline","70","120","58.33","68","120","56.67","-1.66","both full 3 runs"
